,Item_Identifier,Item_Type,Physical_Product_Name
0,FDA15,Dairy,"Milk, Butter, Cheese"
1,DRC01,Soft Drinks,"Cola, Lemonade, Orange Juice"
2,FDN15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
3,FDX07,Fruits and Vegetables,"Apples, Carrots, Spinach"
4,NCD19,Household,"Detergent, Dish Soap, Paper Towels"
5,FDP36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
6,FDO10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
7,FDP10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
8,FDH17,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
9,FDU28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
10,FDY07,Fruits and Vegetables,"Apples, Carrots, Spinach"
11,FDA03,Dairy,"Milk, Butter, Cheese"
12,FDX32,Fruits and Vegetables,"Apples, Carrots, Spinach"
13,FDS46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
14,FDF32,Fruits and Vegetables,"Apples, Carrots, Spinach"
15,FDP49,Breakfast,"Oats, Cornflakes, Granola"
16,NCB42,Health and Hygiene,"Toothpaste, Shampoo, Soap"
17,FDP49,Breakfast,"Oats, Cornflakes, Granola"
18,DRI11,Hard Drinks,"Whiskey, Vodka, Rum"
19,FDU02,Dairy,"Milk, Butter, Cheese"
20,FDN22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
21,FDW12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
22,NCB30,Household,"Detergent, Dish Soap, Paper Towels"
23,FDC37,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
24,FDR28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
25,NCD06,Household,"Detergent, Dish Soap, Paper Towels"
26,FDV10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
27,DRJ59,Hard Drinks,"Whiskey, Vodka, Rum"
28,FDE51,Dairy,"Milk, Butter, Cheese"
29,FDC14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
30,FDV38,Dairy,"Milk, Butter, Cheese"
31,NCS17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
32,FDP33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
33,FDO23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
34,DRH01,Soft Drinks,"Cola, Lemonade, Orange Juice"
35,NCX29,Health and Hygiene,"Toothpaste, Shampoo, Soap"
36,FDV20,Fruits and Vegetables,"Apples, Carrots, Spinach"
37,DRZ11,Soft Drinks,"Cola, Lemonade, Orange Juice"
38,FDX10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
39,FDB34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
40,FDU02,Dairy,"Milk, Butter, Cheese"
41,FDK43,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
42,FDA46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
43,FDC02,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
44,FDL50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
45,FDM39,Dairy,"Milk, Butter, Cheese"
46,NCP05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
47,FDV49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
48,FDL12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
49,FDS02,Dairy,"Milk, Butter, Cheese"
50,NCL17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
51,FDM40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
52,FDR13,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
53,FDA43,Fruits and Vegetables,"Apples, Carrots, Spinach"
54,NCP18,Household,"Detergent, Dish Soap, Paper Towels"
55,FDK21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
56,NCX54,Household,"Detergent, Dish Soap, Paper Towels"
57,DRK35,Hard Drinks,"Whiskey, Vodka, Rum"
58,FDY21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
59,FDI26,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
60,FDM20,Fruits and Vegetables,"Apples, Carrots, Spinach"
61,FDV27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
62,FDF09,Fruits and Vegetables,"Apples, Carrots, Spinach"
63,FDY40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
64,FDY45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
65,FDC46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
66,FDH19,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
67,FDZ03,Dairy,"Milk, Butter, Cheese"
68,DRH37,Soft Drinks,"Cola, Lemonade, Orange Juice"
69,NCI17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
70,FDJ58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
71,FDL12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
72,FDH35,Starchy Foods,"Rice, Pasta, Potatoes"
73,FDG02,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
74,NCZ18,Household,"Detergent, Dish Soap, Paper Towels"
75,FDC29,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
76,FDQ10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
77,FDN48,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
78,FDL04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
79,FDV25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
80,FDD58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
81,FDN04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
82,FDV45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
83,NCL18,Household,"Detergent, Dish Soap, Paper Towels"
84,FDR12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
85,FDG20,Fruits and Vegetables,"Apples, Carrots, Spinach"
86,FDZ55,Fruits and Vegetables,"Apples, Carrots, Spinach"
87,FDQ49,Breakfast,"Oats, Cornflakes, Granola"
88,FDN33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
89,FDN27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
90,FDW20,Fruits and Vegetables,"Apples, Carrots, Spinach"
91,DRG27,Dairy,"Milk, Butter, Cheese"
92,DRI25,Soft Drinks,"Cola, Lemonade, Orange Juice"
93,FDA44,Fruits and Vegetables,"Apples, Carrots, Spinach"
94,NCR17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
95,FDU04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
96,FDF41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
97,FDB56,Fruits and Vegetables,"Apples, Carrots, Spinach"
98,NCP18,Household,"Detergent, Dish Soap, Paper Towels"
99,FDB56,Fruits and Vegetables,"Apples, Carrots, Spinach"
100,FDT28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
101,FDD10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
102,FDW57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
103,DRB48,Soft Drinks,"Cola, Lemonade, Orange Juice"
104,FDP09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
105,FDH14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
106,FDA47,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
107,FDG12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
108,DRE60,Soft Drinks,"Cola, Lemonade, Orange Juice"
109,DRK49,Soft Drinks,"Cola, Lemonade, Orange Juice"
110,FDD03,Dairy,"Milk, Butter, Cheese"
111,FDS52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
112,FDW39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
113,FDX34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
114,FDV11,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
115,FDD17,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
116,FDZ16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
117,FDZ46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
118,DRA12,Soft Drinks,"Cola, Lemonade, Orange Juice"
119,FDY58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
120,NCF19,Household,"Detergent, Dish Soap, Paper Towels"
121,DRJ13,Soft Drinks,"Cola, Lemonade, Orange Juice"
122,FDB14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
123,FDJ38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
124,FDW11,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
125,FDL40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
126,DRI49,Soft Drinks,"Cola, Lemonade, Orange Juice"
127,FDV38,Dairy,"Milk, Butter, Cheese"
128,DRG23,Hard Drinks,"Whiskey, Vodka, Rum"
129,NCP30,Household,"Detergent, Dish Soap, Paper Towels"
130,FDY25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
131,NCH54,Household,"Detergent, Dish Soap, Paper Towels"
132,NCR53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
133,FDS52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
134,FDG02,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
135,NCO26,Household,"Detergent, Dish Soap, Paper Towels"
136,FDH35,Starchy Foods,"Rice, Pasta, Potatoes"
137,FDB51,Dairy,"Milk, Butter, Cheese"
138,FDX44,Fruits and Vegetables,"Apples, Carrots, Spinach"
139,NCN07,Others,Miscellaneous Grocery Items
140,NCC31,Household,"Detergent, Dish Soap, Paper Towels"
141,NCX54,Household,"Detergent, Dish Soap, Paper Towels"
142,NCO55,Others,Miscellaneous Grocery Items
143,NCC30,Household,"Detergent, Dish Soap, Paper Towels"
144,FDI16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
145,FDP16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
146,FDB11,Starchy Foods,"Rice, Pasta, Potatoes"
147,NCB06,Health and Hygiene,"Toothpaste, Shampoo, Soap"
148,FDA45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
149,NCO26,Household,"Detergent, Dish Soap, Paper Towels"
150,DRJ25,Soft Drinks,"Cola, Lemonade, Orange Juice"
151,FDR28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
152,FDI04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
153,DRK12,Soft Drinks,"Cola, Lemonade, Orange Juice"
154,FDX20,Fruits and Vegetables,"Apples, Carrots, Spinach"
155,NCI18,Household,"Detergent, Dish Soap, Paper Towels"
156,FDB36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
157,FDN13,Breakfast,"Oats, Cornflakes, Granola"
158,DRD24,Soft Drinks,"Cola, Lemonade, Orange Juice"
159,FDQ28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
160,FDM22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
161,FDR07,Fruits and Vegetables,"Apples, Carrots, Spinach"
162,FDV25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
163,DRF49,Soft Drinks,"Cola, Lemonade, Orange Juice"
164,FDW51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
165,DRL01,Soft Drinks,"Cola, Lemonade, Orange Juice"
166,FDP25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
167,FDL50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
168,NCB30,Household,"Detergent, Dish Soap, Paper Towels"
169,FDW11,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
170,NCM43,Others,Miscellaneous Grocery Items
171,FDK44,Fruits and Vegetables,"Apples, Carrots, Spinach"
172,FDM15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
173,FDS31,Fruits and Vegetables,"Apples, Carrots, Spinach"
174,FDI32,Fruits and Vegetables,"Apples, Carrots, Spinach"
175,FDR47,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
176,FDB35,Starchy Foods,"Rice, Pasta, Potatoes"
177,NCU05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
178,DRY23,Soft Drinks,"Cola, Lemonade, Orange Juice"
179,FDO24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
180,FDQ28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
181,FDV39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
182,NCO17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
183,FDU50,Dairy,"Milk, Butter, Cheese"
184,FDT12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
185,FDK58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
186,FDO08,Fruits and Vegetables,"Apples, Carrots, Spinach"
187,NCW29,Health and Hygiene,"Toothpaste, Shampoo, Soap"
188,FDE04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
189,NCB19,Household,"Detergent, Dish Soap, Paper Towels"
190,FDV15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
191,FDL58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
192,FDA08,Fruits and Vegetables,"Apples, Carrots, Spinach"
193,FDT43,Fruits and Vegetables,"Apples, Carrots, Spinach"
194,NCX06,Household,"Detergent, Dish Soap, Paper Towels"
195,FDT20,Fruits and Vegetables,"Apples, Carrots, Spinach"
196,FDB41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
197,NCN55,Others,Miscellaneous Grocery Items
198,FDE40,Dairy,"Milk, Butter, Cheese"
199,FDX49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
200,NCM53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
201,FDE36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
202,FDN57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
203,FDI24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
204,FDI19,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
205,FDF24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
206,FDG52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
207,DRF36,Soft Drinks,"Cola, Lemonade, Orange Juice"
208,FDS45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
209,FDX40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
210,DRK12,Soft Drinks,"Cola, Lemonade, Orange Juice"
211,DRC27,Dairy,"Milk, Butter, Cheese"
212,FDL58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
213,NCD30,Household,"Detergent, Dish Soap, Paper Towels"
214,NCZ54,Household,"Detergent, Dish Soap, Paper Towels"
215,FDE10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
216,FDR44,Fruits and Vegetables,"Apples, Carrots, Spinach"
217,FDP28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
218,FDX15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
219,FDA39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
220,FDY24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
221,FDC60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
222,FDH28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
223,FDT25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
