,Unnamed: 0,Item_Identifier,Item_Type,Physical_Product_Name
0,0,FDA15,Dairy,Milk
1,1,DRC01,Soft Drinks,Cola
2,2,FDN15,Meat,Chicken Breast
3,3,FDX07,Fruits and Vegetables,Apples
4,4,NCD19,Household,Detergent
5,5,FDP36,Baking Goods,All-Purpose Flour
6,6,FDO10,Snack Foods,Potato Chips
7,7,FDP10,Snack Foods,Potato Chips
8,8,FDH17,Frozen Foods,Frozen Pizza
9,9,FDU28,Frozen Foods,Frozen Pizza
10,10,FDY07,Fruits and Vegetables,Apples
11,11,FDA03,Dairy,Milk
12,12,FDX32,Fruits and Vegetables,Apples
13,13,FDS46,Snack Foods,Potato Chips
14,14,FDF32,Fruits and Vegetables,Apples
15,15,FDP49,Breakfast,Oats
16,16,NCB42,Health and Hygiene,Toothpaste
18,18,DRI11,Hard Drinks,Whiskey
19,19,FDU02,Dairy,Milk
20,20,FDN22,Snack Foods,Potato Chips
21,21,FDW12,Baking Goods,All-Purpose Flour
22,22,NCB30,Household,Detergent
23,23,FDC37,Baking Goods,All-Purpose Flour
24,24,FDR28,Frozen Foods,Frozen Pizza
25,25,NCD06,Household,Detergent
26,26,FDV10,Snack Foods,Potato Chips
27,27,DRJ59,Hard Drinks,Whiskey
28,28,FDE51,Dairy,Milk
29,29,FDC14,Canned,Canned Beans
30,30,FDV38,Dairy,Milk
31,31,NCS17,Health and Hygiene,Toothpaste
32,32,FDP33,Snack Foods,Potato Chips
33,33,FDO23,Breads,Whole Wheat Bread
34,34,DRH01,Soft Drinks,Cola
35,35,NCX29,Health and Hygiene,Toothpaste
36,36,FDV20,Fruits and Vegetables,Apples
37,37,DRZ11,Soft Drinks,Cola
38,38,FDX10,Snack Foods,Potato Chips
39,39,FDB34,Snack Foods,Potato Chips
41,41,FDK43,Meat,Chicken Breast
42,42,FDA46,Snack Foods,Potato Chips
43,43,FDC02,Canned,Canned Beans
44,44,FDL50,Canned,Canned Beans
45,45,FDM39,Dairy,Milk
46,46,NCP05,Health and Hygiene,Toothpaste
47,47,FDV49,Canned,Canned Beans
48,48,FDL12,Baking Goods,All-Purpose Flour
49,49,FDS02,Dairy,Milk
50,50,NCL17,Health and Hygiene,Toothpaste
51,51,FDM40,Frozen Foods,Frozen Pizza
52,52,FDR13,Canned,Canned Beans
53,53,FDA43,Fruits and Vegetables,Apples
54,54,NCP18,Household,Detergent
55,55,FDK21,Snack Foods,Potato Chips
56,56,NCX54,Household,Detergent
57,57,DRK35,Hard Drinks,Whiskey
58,58,FDY21,Snack Foods,Potato Chips
59,59,FDI26,Canned,Canned Beans
60,60,FDM20,Fruits and Vegetables,Apples
61,61,FDV27,Meat,Chicken Breast
62,62,FDF09,Fruits and Vegetables,Apples
63,63,FDY40,Frozen Foods,Frozen Pizza
64,64,FDY45,Snack Foods,Potato Chips
65,65,FDC46,Snack Foods,Potato Chips
66,66,FDH19,Meat,Chicken Breast
67,67,FDZ03,Dairy,Milk
68,68,DRH37,Soft Drinks,Cola
69,69,NCI17,Health and Hygiene,Toothpaste
70,70,FDJ58,Snack Foods,Potato Chips
72,72,FDH35,Starchy Foods,Rice
73,73,FDG02,Canned,Canned Beans
74,74,NCZ18,Household,Detergent
75,75,FDC29,Frozen Foods,Frozen Pizza
76,76,FDQ10,Snack Foods,Potato Chips
77,77,FDN48,Baking Goods,All-Purpose Flour
78,78,FDL04,Frozen Foods,Frozen Pizza
79,79,FDV25,Canned,Canned Beans
80,80,FDD58,Snack Foods,Potato Chips
81,81,FDN04,Frozen Foods,Frozen Pizza
82,82,FDV45,Snack Foods,Potato Chips
83,83,NCL18,Household,Detergent
84,84,FDR12,Baking Goods,All-Purpose Flour
85,85,FDG20,Fruits and Vegetables,Apples
86,86,FDZ55,Fruits and Vegetables,Apples
87,87,FDQ49,Breakfast,Oats
88,88,FDN33,Snack Foods,Potato Chips
89,89,FDN27,Meat,Chicken Breast
90,90,FDW20,Fruits and Vegetables,Apples
91,91,DRG27,Dairy,Milk
92,92,DRI25,Soft Drinks,Cola
93,93,FDA44,Fruits and Vegetables,Apples
94,94,NCR17,Health and Hygiene,Toothpaste
95,95,FDU04,Frozen Foods,Frozen Pizza
96,96,FDF41,Frozen Foods,Frozen Pizza
97,97,FDB56,Fruits and Vegetables,Apples
100,100,FDT28,Frozen Foods,Frozen Pizza
101,101,FDD10,Snack Foods,Potato Chips
102,102,FDW57,Snack Foods,Potato Chips
103,103,DRB48,Soft Drinks,Cola
104,104,FDP09,Snack Foods,Potato Chips
105,105,FDH14,Canned,Canned Beans
106,106,FDA47,Baking Goods,All-Purpose Flour
107,107,FDG12,Baking Goods,All-Purpose Flour
108,108,DRE60,Soft Drinks,Cola
109,109,DRK49,Soft Drinks,Cola
110,110,FDD03,Dairy,Milk
111,111,FDS52,Frozen Foods,Frozen Pizza
112,112,FDW39,Meat,Chicken Breast
113,113,FDX34,Snack Foods,Potato Chips
114,114,FDV11,Breads,Whole Wheat Bread
115,115,FDD17,Frozen Foods,Frozen Pizza
116,116,FDZ16,Frozen Foods,Frozen Pizza
117,117,FDZ46,Snack Foods,Potato Chips
118,118,DRA12,Soft Drinks,Cola
119,119,FDY58,Snack Foods,Potato Chips
120,120,NCF19,Household,Detergent
121,121,DRJ13,Soft Drinks,Cola
122,122,FDB14,Canned,Canned Beans
123,123,FDJ38,Canned,Canned Beans
124,124,FDW11,Breads,Whole Wheat Bread
125,125,FDL40,Frozen Foods,Frozen Pizza
126,126,DRI49,Soft Drinks,Cola
128,128,DRG23,Hard Drinks,Whiskey
129,129,NCP30,Household,Detergent
130,130,FDY25,Canned,Canned Beans
131,131,NCH54,Household,Detergent
132,132,NCR53,Health and Hygiene,Toothpaste
135,135,NCO26,Household,Detergent
137,137,FDB51,Dairy,Milk
138,138,FDX44,Fruits and Vegetables,Apples
139,139,NCN07,Others,Miscellaneous Grocery Items
140,140,NCC31,Household,Detergent
142,142,NCO55,Others,Miscellaneous Grocery Items
143,143,NCC30,Household,Detergent
144,144,FDI16,Frozen Foods,Frozen Pizza
145,145,FDP16,Frozen Foods,Frozen Pizza
146,146,FDB11,Starchy Foods,Rice
147,147,NCB06,Health and Hygiene,Toothpaste
148,148,FDA45,Snack Foods,Potato Chips
150,150,DRJ25,Soft Drinks,Cola
152,152,FDI04,Frozen Foods,Frozen Pizza
153,153,DRK12,Soft Drinks,Cola
154,154,FDX20,Fruits and Vegetables,Apples
155,155,NCI18,Household,Detergent
156,156,FDB36,Baking Goods,All-Purpose Flour
157,157,FDN13,Breakfast,Oats
158,158,DRD24,Soft Drinks,Cola
159,159,FDQ28,Frozen Foods,Frozen Pizza
160,160,FDM22,Snack Foods,Potato Chips
161,161,FDR07,Fruits and Vegetables,Apples
163,163,DRF49,Soft Drinks,Cola
164,164,FDW51,Meat,Chicken Breast
165,165,DRL01,Soft Drinks,Cola
166,166,FDP25,Canned,Canned Beans
170,170,NCM43,Others,Miscellaneous Grocery Items
171,171,FDK44,Fruits and Vegetables,Apples
172,172,FDM15,Meat,Chicken Breast
173,173,FDS31,Fruits and Vegetables,Apples
174,174,FDI32,Fruits and Vegetables,Apples
175,175,FDR47,Breads,Whole Wheat Bread
176,176,FDB35,Starchy Foods,Rice
177,177,NCU05,Health and Hygiene,Toothpaste
178,178,DRY23,Soft Drinks,Cola
179,179,FDO24,Baking Goods,All-Purpose Flour
181,181,FDV39,Meat,Chicken Breast
182,182,NCO17,Health and Hygiene,Toothpaste
183,183,FDU50,Dairy,Milk
184,184,FDT12,Baking Goods,All-Purpose Flour
185,185,FDK58,Snack Foods,Potato Chips
186,186,FDO08,Fruits and Vegetables,Apples
